content,id_SN,date,tags,title,support_line,menu,sector,images_hd,layout,files,created_date,published,releated_posts,section,label,video,video_thumbnail,hat,special-page,target,link
,655,2019-07-22T16:48:37-03:00,meio-ambiente|aquecimento-global,O amanhã é hoje,O drama de brasileiros impactados pelas mudanças climáticas,meio ambiente,,,post,[],2019-07-22T16:49:34-03:00,true,[],tv,,https://www.youtube.com/watch?v=azrnx55oawQ,http://img.youtube.com/vi/azrnx55oawQ/0.jpg,,,,
,665,2019-07-23T11:04:28-03:00,agroecologia|agroecologia-é-o-caminho|jornada-de-agroecologia,Saiba como apoiar a Jornada de Agroecologia!,João Paulo Rodrigues explica pra nós. ,agricultura camponesa,,,post,[],2019-07-23T11:06:58-03:00,true,_posts/2018/10/2018-10-03-ana-primavesi-pioneira-da-agroecologia-completa-98-anos.md|_posts/2019/01/2019-01-15-primeiro-curso-de-especializacao-em-educacao-e-agroecologia-acontece-no-extremo-sul-da-bahia.md|_posts/2019/03/2019-03-30-experiencia-de-producao-de-alimentos-saudaveis-aproxima-campo-e-cidade-no-df.md|_posts/2019/05/2019-05-21-estudar-sorrir-e-lutar.md|_posts/2019/05/2019-05-30-cacau-e-chocolate-agroecologico-conheca-a-producao-que-cresce-no-norte-do-pais.md,tv,,https://youtu.be/JEsp9ofuDqs,http://img.youtube.com/vi/JEsp9ofuDqs/0.jpg,,,,
,671,2019-07-25T11:11:01-03:00,[],"Análise de Conjuntura 07 I 25 de Julho, Dallagnol e Criminalização dos Movimentos Sociais","Na análise de conjuntura desta semana conversamos com Judite Santos, do Coletivo de Relações Internacionais e Ayala Ferreira, do Coletivo de Direitos Humanos do MST ",lutas e mobilizações,,,post,[],2019-07-25T11:12:25-03:00,true,[],tv,,https://www.youtube.com/watch?v=N0rM85j07X8&feature=youtu.be,http://img.youtube.com/vi/N0rM85j07X8/0.jpg,,,,
,684,2019-07-29T16:03:54-03:00,[],Documentário | Educação em Movimento,Aborda experiências de educação por toda a América Latina!,"educação, cultura e comunicação",,,post,[],2019-07-29T16:05:09-03:00,true,[],tv,,https://youtu.be/VGY3S_Va680,http://img.youtube.com/vi/VGY3S_Va680/0.jpg,,,,
,695,2019-07-30T17:33:46-03:00,[]," Semana passada teve a Feira Estadual da Bahia, confira!",Assista a playlist e veja como foi a feira. ,agricultura camponesa,,,post,[],2019-07-30T17:34:39-03:00,true,[],tv,,https://www.youtube.com/watch?v=dg0VFoxg7xI&list=PLs_FebLgno7Z-1GcDI30WQan2ioOQUmj0,http://img.youtube.com/vi/dg0VFoxg7xI/0.jpg,,,,
,697,2019-07-31T16:37:01-03:00,[],"ANÁLISE DE CONJUNTURA ""8 Especial Saúde: SUS, cortes, PEC 241 e Oswaldo Cruz","Na nossa análise de conjuntura semanal, Joelson Santos, do Setor de Saúde do MST, homenageia o Dia Nacional da Saúde",direitos humanos,,,post,[],2019-07-31T16:37:55-03:00,true,[],tv,,https://www.youtube.com/watch?v=1B_19naPXm4&feature=youtu.be,http://img.youtube.com/vi/1B_19naPXm4/0.jpg,,,,
,729,2019-08-09T15:32:05-03:00,[],ACAMPAMENTO ZEQUINHA | 1 ano de muita luta e resistência!,"Na nossa análise de conjuntura semanal, Alexandre Conceição, da Coordenação Nacional do MST, fala sobre as últimas notícias da Vaza Jato, sobre o caso Lula, reforma da Previdência",lutas e mobilizações,,,post,[],2019-08-09T15:33:13-03:00,true,[],tv,,https://www.youtube.com/watch?v=uJJBeJk1Kzc,http://img.youtube.com/vi/uJJBeJk1Kzc/0.jpg,,,,
,740,2019-08-14T15:46:29-03:00,[],"ANÁLISE DE CONJUNTURA I Privatizações, reformas e calendário de lutas","Nessa semana, Debora Nunes, da coordenação Nacional do MST, apresenta um panorama dos primeiros meses do governo Bolsonaro ",lutas e mobilizações,,,post,[],2019-08-14T15:48:37-03:00,true,[],tv,,https://www.youtube.com/watch?v=2qm1ZNf_uOc&feature=youtu.be,http://img.youtube.com/vi/2qm1ZNf_uOc/0.jpg,,,,
,818,2019-09-03T15:07:58-03:00,[],MULHERES EM LUTA: SEMEANDO RESISTÊNCIA!,"O encontro se aproxima e ""é tarefa de todas nós nos envolvermos, motivarmos, convocarmos as mulheres acampadas e assentadas pra se envolver nesse amplo processo de construção do nosso encontro""",lutas e mobilizações,,,post,[],2019-09-03T15:11:41-03:00,true,[],tv,,https://www.youtube.com/watch?v=cF-ocA9cfN0&feature=youtu.be,http://img.youtube.com/vi/cF-ocA9cfN0/0.jpg,,,,
,865,2019-09-12T15:53:03-03:00,pernambuco|despejo,Nita Freire defende  Centro de Formação Paulo Freire contra despejo,"Nita Freire, pedagoga e viúva de Paulo Freire, prestou solidariedade ao Centro de Formação Paulo Freire, localizado no assentamento Normandia, município de Caruaru - PE","educação, cultura e comunicação",,,post,[],2019-09-12T16:00:24-03:00,true,[],tv,,https://www.youtube.com/watch?v=X2K3hZ4uL1w&feature=youtu.be,http://img.youtube.com/vi/X2K3hZ4uL1w/0.jpg,,,,
